
-633,81,NOK,Posten Norge AS,1712,240200,000000
334,84,NOK,Posten Norge AS,1712,420100,000000
53,5,NOK,Posten Norge AS,1712,460100,000000
162,54,NOK,Posten Norge AS,1712,460100,000000
82,93,NOK,Posten Norge AS,1712,460100,000000
-17473,63,NOK,Posten Norge AS,1712,240200,000000
-6380,39,NOK,Posten Norge AS,1712,318100,000000
-459,48,NOK,Posten Norge AS,1712,806000,000000
24313,5,NOK,Posten Norge AS,1712,460100,000000
0,NOK,Posten Norge AS,1712,271000,000000
0,NOK,Posten Norge AS,1712,271000,000000
0,NOK,Posten Norge AS,1712,271000,000000
0,NOK,Posten Norge AS,1712,271000,000000
0,NOK,Posten Norge AS,1712,270000,000000
0,NOK,Posten Norge AS,1712,271000,000000
258,NOK,Posten Norge AS,1712,192000,000000
-126,4,NOK,Posten Norge AS,1712,303000,000000
-100,NOK,Posten Norge AS,1712,157600,000000
340,NOK,Posten Norge AS,1712,192000,000000
-126,4,NOK,Posten Norge AS,1712,303000,000000
-182,NOK,Posten Norge AS,1712,157600,000000
3266,NOK,Posten Norge AS,1712,192000,000000
-126,4,NOK,Posten Norge AS,1712,303000,000000
-3108,NOK,Posten Norge AS,1712,783100,000000
-31,6,NOK,Posten Norge AS,1712,271000,000000
-31,6,NOK,Posten Norge AS,1712,271000,000000
-31,6,NOK,Posten Norge AS,1712,271000,000000
