
2398;11501418526;15033679685;NORTH SEA ELECTRONICS AS;NOK;Double paid for invoice 1150141852;10010640505;NORTH SEA ELECTRONICS AS;01022023_10010640505_2844;1712;Posten Norge AS;60030635097;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;290700;000000
-2398;11501418526;15033679685;NORTH SEA ELECTRONICS AS;NOK;Double paid for invoice 1150141852;10010640505;NORTH SEA ELECTRONICS AS;01022023_10010640505_2844;1712;Posten Norge AS;60030635097;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;290390;000000
0;11501418526;15033679685;NORTH SEA ELECTRONICS AS;NOK;Double paid for invoice 1150141852;10010640505;NORTH SEA ELECTRONICS AS;01022023_10010640505_2844;1712;Posten Norge AS;60030635097;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;154910;000000
3891,35;11501416470;81501041823;GANT RETAIL AS;NOK;Credit Memo 1150151360 24.04.2023;10020711262;GANT RETAIL AS;01022023_10020711262_2374;1712;Posten Norge AS;60030635097;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;150000;000000
-3891,35;11501416470;81501041823;GANT RETAIL AS;NOK;Credit Memo 1150151360 24.04.2023;10020711262;GANT RETAIL AS;01022023_10020711262_2374;1712;Posten Norge AS;60030635097;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;290700;000000
3891,35;11501416470;81501041823;GANT RETAIL AS;NOK;Credit Memo 1150151360 24.04.2023;10020711262;GANT RETAIL AS;01022023_10020711262_2374;1712;Posten Norge AS;60030635097;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;192100;000000
-3891,35;11501416470;81501041823;GANT RETAIL AS;NOK;Credit Memo 1150151360 24.04.2023;10020711262;GANT RETAIL AS;01022023_10020711262_2374;1712;Posten Norge AS;60030635097;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;192100;000000
0;11501416470;81501041823;GANT RETAIL AS;NOK;Credit Memo 1150151360 24.04.2023;10020711262;GANT RETAIL AS;01022023_10020711262_2374;1712;Posten Norge AS;60030635097;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;154910;000000
1370;12702953089;42703102829;Orkland Röde Kors;NOK;Double paid for invoice 1270295308;3647435;Orkland Røde Kors;01022023_3647435_4668;1712;Posten Norge AS;60050561731;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;290700;000000
-1370;12702953089;42703102829;Orkland Röde Kors;NOK;Double paid for invoice 1270295308;3647435;Orkland Røde Kors;01022023_3647435_4668;1712;Posten Norge AS;60050561731;Nordea Internal;Imported Receipts;010223_000002_OEBS_KID.dat;290390;000000
